msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
que linda lluvia como encerrarme pieza ver series \U0001f63b ;1;que lind lluvi com encerr piez ver seri \u0001f63b;que linda lluvia como encerrarme pieza ver serie \u0001f63b;que linda lluvia como encerrarme pieza ver series  ;                \U0001f63b
y inflacion mas facil bajar  lluvia inversiones   do semestre  jubilados van ganar inflacion volvimos mundo algunos lugares sobra agua otros sobra recen no incendie     gauchada viene   \U0001f612 \U0001f612 \U0001f612  ;0;y inflacion mas facil baj lluvi inversion do semestr jubil van gan inflacion volv mund algun lugar sobr agu otros sobr rec no incendi gauch vien \u0001f612 \u0001f612 \u0001f612;y inflacion mas facil bajar lluvia inversione do semestre jubilado van ganar inflacion volvimo mundo alguno lugare sobra agua otro sobra recen no incendie gauchada viene \u0001f612 \u0001f612 \u0001f612;y inflacion mas facil bajar lluvia inversiones do semestre jubilados van ganar inflacion volvimos mundo algunos lugares sobra agua otros sobra recen no incendie gauchada viene      ;                                                    \U0001f612 \U0001f612 \U0001f612
si dormir escuchando lluvia hermoso   imaginate con lado mio  ;1;si dorm escuch lluvi hermos imaginat con lad mio;si dormir escuchando lluvia hermoso imaginate con lado mio;si dormir escuchando lluvia hermoso imaginate con lado mio;                 
y ahora paro lluvia puta madre ahora desvelo lluvia cara ogt ;0;y ahor par lluvi put madr ahor desvel lluvi car ogt;y ahora paro lluvia puta madre ahora desvelo lluvia cara ogt;y ahora paro lluvia puta madre ahora desvelo lluvia cara ogt;                     
detesto con todo ser dias lluvia humedad ;1;detest con tod ser dias lluvi humed;detesto con todo ser dia lluvia humedad;detesto con todo ser dias lluvia humedad;             
va correr lluvia  readi pibes ;0;va corr lluvi readi pib;va correr lluvia readi pibe;va correr lluvia readi pibes;         
menos mal viene lluvia  hace falta refrescar poco     \U0001f62d \U0001f327 \U0001f329 \U0001f329 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f329 poco mas  \U0001f329 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 ;0;men mal vien lluvi hac falt refresc poc \u0001f62d \u0001f327 \u0001f329 \u0001f329 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f329 poc mas \u0001f329 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327;meno mal viene lluvia hace falta refrescar poco \u0001f62d \u0001f327 \u0001f329 \u0001f329 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f329 poco mas \u0001f329 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327 \u0001f327;menos mal viene lluvia hace falta refrescar poco                     poco mas                                  ;                \U0001f62d \U0001f327 \U0001f329 \U0001f329 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f329     \U0001f329 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327 \U0001f327
el trueno acaba caer señor yisus ;1;el truen acab caer señor yisus;el trueno acaba caer señor yisu;el trueno acaba caer señor yisus;           
debido intensas lluvias  jornada detiene  va esperar    minutos ver si jornada continua  ;1;deb intens lluvi jorn detien va esper minut ver si jorn continu;debido intensa lluvia jornada detiene va esperar minuto ver si jornada continua;debido intensas lluvias jornada detiene va esperar minutos ver si jornada continua;                       
por carajo lloviendo casi todos lunes  lluvia lpm cortas rutina gimnasio ;1;por caraj llov casi tod lun lluvi lpm cort rutin gimnasi;por carajo lloviendo casi todo lune lluvia lpm corta rutina gimnasio;por carajo lloviendo casi todos lunes lluvia lpm cortas rutina gimnasio;                     
voy dormir como bebe noche con lluvia ;1;voy dorm com beb noch con lluvi;voy dormir como bebe noche con lluvia;voy dormir como bebe noche con lluvia;             
llegan tormentas nunca falla pelotudo putea  desenchufa todo andate dormir para  simple ;1;lleg torment nunc fall pelotud pute desenchuf tod andat dorm par simpl;llegan tormenta nunca falla pelotudo putea desenchufa todo andate dormir para simple;llegan tormentas nunca falla pelotudo putea desenchufa todo andate dormir para simple;                       
que lindo llueve cordoba hay viento  ;1;que lind lluev cordob hay vient;que lindo llueve cordoba hay viento;que lindo llueve cordoba hay viento;           
 si era lluvia   \U0001f605 \U0001f605 \U0001f602 \U0001f602 escribi mal  ;0;si era lluvi \u0001f605 \u0001f605 \u0001f602 \u0001f602 escribi mal;si era lluvia \u0001f605 \u0001f605 \u0001f602 \u0001f602 escribi mal;si era lluvia         escribi mal;      \U0001f605 \U0001f605 \U0001f602 \U0001f602    
que linda tormenta estar con \U0001f60a \u2764 ;1;que lind torment estar con \u0001f60 \u2764;que linda tormenta estar con \u0001f60a \u2764;que linda tormenta estar con    ;          \U0001f60a \u2764
  eres crack  maquina  jefe  tifon  tornado  tiburon  mastodonte   \U0001f4aa apu va simpsons  ;0;eres crack maquin jef tifon torn tiburon mastodont \u0001f4a apu va simpsons;ere crack maquina jefe tifon tornado tiburon mastodonte \u0001f4aa apu va simpson;eres crack maquina jefe tifon tornado tiburon mastodonte   apu va simpsons;                \U0001f4aa      
nada mejor netflix ruido lluvia escucha  \U0001f60d ;1;nad mejor netflix ruid lluvi escuch \u0001f60d;nada mejor netflix ruido lluvia escucha \u0001f60d;nada mejor netflix ruido lluvia escucha  ;            \U0001f60d
linda tormenta  lindo fresquito fin ;1;lind torment lind fresquit fin;linda tormenta lindo fresquito fin;linda tormenta lindo fresquito fin;         
mis respetos todos aquellos trabajan construccion   hay bancarse       veces hasta    grados rayo sol sin dudas quienes mas sufren  merecen sueldo mas digno  aplauso ellos  \U0001f44f \U0001f44f \U0001f44f \U0001f44f ;0;mis respet tod aquell trabaj construccion hay banc vec hast grad ray sol sin dud quien mas sufr merec sueld mas dign aplaus ellos \u0001f44f \u0001f44f \u0001f44f \u0001f44f;mi respeto todo aquello trabajan construccion hay bancarse vece hasta grado rayo sol sin duda quiene mas sufren merecen sueldo mas digno aplauso ello \u0001f44f \u0001f44f \u0001f44f \u0001f44f;mis respetos todos aquellos trabajan construccion hay bancarse veces hasta grados rayo sol sin dudas quienes mas sufren merecen sueldo mas digno aplauso ellos        ;                                                \U0001f44f \U0001f44f \U0001f44f \U0001f44f
que venga tremenda tormenta chabon no importa nada ;0;que veng tremend torment chabon no import nad;que venga tremenda tormenta chabon no importa nada;que venga tremenda tormenta chabon no importa nada;               
mira amo lluvia  tormenta todo pero imposible trabajar colonia  basta llover salga sol vez  \U0001f64f ;0;mir amo lluvi torment tod per impos trabaj coloni bast llov salg sol vez \u0001f64f;mira amo lluvia tormenta todo pero imposible trabajar colonia basta llover salga sol vez \u0001f64f;mira amo lluvia tormenta todo pero imposible trabajar colonia basta llover salga sol vez  ;                            \U0001f64f
 habla  hace   grados llueve  \U0001f602 ;1;habl hac grad lluev \u0001f602;habla hace grado llueve \u0001f602;habla hace grados llueve  ;        \U0001f602
llueve domingo   ;0;lluev doming;llueve domingo;llueve domingo;   
con dia lluvia  mentalmente estoy aca     \U0001f917  paris  buenos aires  argentina  ;0;con dia lluvi mental estoy aca \u0001f917 paris buen air argentin;con dia lluvia mentalmente estoy aca \u0001f917 pari bueno aire argentina;con dia lluvia mentalmente estoy aca   paris buenos aires argentina;            \U0001f917        
domingo lluvia  ;1;doming lluvi;domingo lluvia;domingo lluvia;   
 luces apagadas  lluvia    nos dejan servida ;0;luc apag lluvi nos dej serv;luce apagada lluvia no dejan servida;luces apagadas lluvia nos dejan servida;           
  situacion tambien compleja   ademas irregular  no veo piloto tormenta   espero podamos resolver bien todos  ;0;situacion tambi complej adem irregul no veo pilot torment esper pod resolv bien tod;situacion tambien compleja adema irregular no veo piloto tormenta espero podamo resolver bien todo;situacion tambien compleja ademas irregular no veo piloto tormenta espero podamos resolver bien todos;                           
ya tiene poquito cansado lluvia ;1;ya tien poquit cans lluvi;ya tiene poquito cansado lluvia;ya tiene poquito cansado lluvia;         
lluvias cordoba \u2602  \U0001f302 \u2614      ;0;lluvi cordob \u2602 \u0001f302 \u2614;lluvia cordoba \u2602 \u0001f302 \u2614;lluvias cordoba      ;    \u2602 \U0001f302 \u2614
lluvia piedra lluvia estrellas ;0;lluvi piedr lluvi estrell;lluvia piedra lluvia estrella;lluvia piedra lluvia estrellas;       
que deprimente estos dias no entiendo no llueve torrencialmente hay sol raje tierra quiero llorar mil años si posible ;0;que depriment estos dias no entiend no lluev torrencial hay sol raj tierr quier llor mil años si posibl;que deprimente esto dia no entiendo no llueve torrencialmente hay sol raje tierra quiero llorar mil año si posible;que deprimente estos dias no entiendo no llueve torrencialmente hay sol raje tierra quiero llorar mil años si posible;                                     
   ayer grupo  servidores publicos estuvieron trabajando lugar  encima con estas lluvias riesgo agudiza mas  ojala tomen cartas asunto manera seria  ;0;ayer grup servidor public estuv trabaj lug encim con estas lluvi riesg agudiz mas ojal tom cart asunt maner seri;ayer grupo servidore publico estuvieron trabajando lugar encima con esta lluvia riesgo agudiza mas ojala tomen carta asunto manera seria;ayer grupo servidores publicos estuvieron trabajando lugar encima con estas lluvias riesgo agudiza mas ojala tomen cartas asunto manera seria;                                       
con lluvia dormir con piernas ajenas  \U0001f60f ;1;con lluvi dorm con piern ajen \u0001f60f;con lluvia dormir con pierna ajena \u0001f60f;con lluvia dormir con piernas ajenas  ;            \U0001f60f
 acabo escuchar trueno  \U0001f643 \U0001f499 \U0001f49b ;1;acab escuch truen \u0001f643 \u0001f499 \u0001f49b;acabo escuchar trueno \u0001f643 \u0001f499 \u0001f49b;acabo escuchar trueno      ;      \U0001f643 \U0001f499 \U0001f49b
tormenta electrica anoche camino lafinur san luis   fotos aportadas jorge vilchez  \U0001f329 \U0001f32b \u26c8     ;0;torment electr anoch camin lafinur san luis fot aport jorg vilchez \u0001f329 \u0001f32b \u26c8;tormenta electrica anoche camino lafinur san lui foto aportada jorge vilchez \u0001f329 \u0001f32b \u26c8;tormenta electrica anoche camino lafinur san luis fotos aportadas jorge vilchez      ;                      \U0001f329 \U0001f32b \u26c8
que hermosa lluvia ;1;que hermos lluvi;que hermosa lluvia;que hermosa lluvia;     
cada ves hay llevar maqueta llueve  altura tiene maldicion      ;1;cad ves hay llev maquet lluev altur tien maldicion;cada ve hay llevar maqueta llueve altura tiene maldicion;cada ves hay llevar maqueta llueve altura tiene maldicion;                 
como no seguir durmiendo con lluvia  ;1;com no segu durm con lluvi;como no seguir durmiendo con lluvia;como no seguir durmiendo con lluvia;           
jugamos bajo lluvia  placer coincidir  ;0;jug baj lluvi plac coincid;jugamo bajo lluvia placer coincidir;jugamos bajo lluvia placer coincidir;         
 villa esperan tormentas ;0;vill esper torment;villa esperan tormenta;villa esperan tormentas;     
linda lluvia cucharear  \U0001f499 \U0001f437 \U0001f437 ;1;lind lluvi cuchar \u0001f499 \u0001f437 \u0001f437;linda lluvia cucharear \u0001f499 \u0001f437 \u0001f437;linda lluvia cucharear      ;      \U0001f499 \U0001f437 \U0001f437
ayer lluvia cago laburo sacar fotos cancha  hoy no deja salir casa ir hacer programa radio  esto volviendo algo personal ;0;ayer lluvi cag labur sac fot canch hoy no dej sal cas ir hac program radi esto volv algo personal;ayer lluvia cago laburo sacar foto cancha hoy no deja salir casa ir hacer programa radio esto volviendo algo personal;ayer lluvia cago laburo sacar fotos cancha hoy no deja salir casa ir hacer programa radio esto volviendo algo personal;                                       
las tormentas verano mejores  \U0001f60d ;0;las torment veran mejor \u0001f60d;la tormenta verano mejore \u0001f60d;las tormentas verano mejores  ;        \U0001f60d
hablemos bipolaridad tiempo lluvia sol lluvia sol   hermosa jornada futbol bajo lluvia  fue asi como lavaron zapas  \U0001f602 \U0001f923 \U0001f602 \U0001f923 \U0001f602 \U0001f923 ;0;habl bipolar tiemp lluvi sol lluvi sol hermos jorn futbol baj lluvi fue asi com lav zap \u0001f602 \u0001f923 \u0001f602 \u0001f923 \u0001f602 \u0001f923;hablemo bipolaridad tiempo lluvia sol lluvia sol hermosa jornada futbol bajo lluvia fue asi como lavaron zapa \u0001f602 \u0001f923 \u0001f602 \u0001f923 \u0001f602 \u0001f923;hablemos bipolaridad tiempo lluvia sol lluvia sol hermosa jornada futbol bajo lluvia fue asi como lavaron zapas            ;                                  \U0001f602 \U0001f923 \U0001f602 \U0001f923 \U0001f602 \U0001f923
